b'id',b'key',b'value',b'type'
b'219529',b'highway',b'motorway_junction',b'regular'
b'219529',b'ref',b'17',b'regular'
b'219537',b'highway',b'motorway_junction',b'regular'
b'219537',b'ref',b'17',b'regular'
b'219587',b'highway',b'traffic_signals',b'regular'
b'219587',b'source',b'Bing',b'regular'
b'219592',b'highway',b'motorway_junction',b'regular'
b'219592',b'ref',b'18',b'regular'
b'219595',b'highway',b'motorway_junction',b'regular'
b'219595',b'ref',b'18',b'regular'
b'692149',b'highway',b'traffic_signals',b'regular'
b'692152',b'highway',b'traffic_signals',b'regular'
b'692152',b'traffic_signals',b'signal',b'regular'
b'692175',b'barrier',b'gate',b'regular'
b'692175',b'bicycle',b'no',b'regular'
b'692175',b'foot',b'yes',b'regular'
b'692311',b'name',b'Tilstone Fearnall',b'regular'
b'692311',b'place',b'hamlet',b'regular'
b'692314',b'name',b'Peckforton',b'regular'
b'692314',b'place',b'hamlet',b'regular'
b'692315',b'name',b'Beeston',b'regular'
b'692315',b'place',b'hamlet',b'regular'
b'692322',b'name',b'Bunbury Mill',b'regular'
b'692322',b'tourism',b'attraction',b'regular'
b'692356',b'name',b'Utkinton',b'regular'
b'692356',b'place',b'village',b'regular'
b'692359',b'name',b'001',b'regular'
b'692362',b'name',b'Tiverton',b'regular'
b'692362',b'place',b'hamlet',b'regular'
b'692362',b'wikidata',b'Q1908537',b'regular'
b'692362',b'wikipedia',"b'en:Tiverton, Cheshire'",b'regular'
b'1621125',b'created_by',b'JOSM',b'regular'
b'1621126',b'created_by',b'JOSM',b'regular'
b'1621128',b'created_by',b'JOSM',b'regular'
b'1621129',b'created_by',b'JOSM',b'regular'
b'1624322',b'highway',b'traffic_signals',b'regular'
b'1624322',b'is_in',"b'Crewe, Cheshire, England, United Kingdom'",b'regular'
b'1624325',b'created_by',b'JOSM',b'regular'
b'1625283',b'created_by',b'JOSM',b'regular'
b'1625287',b'created_by',b'JOSM',b'regular'
b'1625289',b'created_by',b'JOSM',b'regular'
b'1625294',b'created_by',b'JOSM',b'regular'
b'1625297',b'created_by',b'JOSM',b'regular'
b'1625300',b'created_by',b'JOSM',b'regular'
b'3178685',b'created_by',b'JOSM',b'regular'
b'3178694',b'created_by',b'JOSM',b'regular'
b'3178703',b'created_by',b'JOSM',b'regular'
b'3178704',b'created_by',b'JOSM',b'regular'
b'3178706',b'created_by',b'JOSM',b'regular'
